home_team,away_team,home_score,away_score,Total_Shots,Possession,Player_Rating
Sevilla,Valencia,2,1,0.37826087,0.115304348,0.322608696
Sevilla,Eibar,2,0,0.517391304,0.120521739,0.343478261
Sevilla,Villareal,0,0,0.482608696,0.119826087,0.326086957
Sevilla,Real Sociedad,1,1,0.447826087,0.11773913,0.34
Sevilla,Espanyol,6,4,0.760869565,0.120521739,0.364347826
Eibar,Sevilla,1,1,0.447826087,0.120173913,0.322608696
Villareal,Sevilla,0,0,0.517391304,0.117043478,0.308695652
Real Sociedad,Sevilla,0,4,0.62173913,0.120521739,0.360869565
Espanyol,Sevilla,3,1,0.586956522,0.117043478,0.34
Villareal,Eibar,2,3,0.482608696,0.119826087,0.336521739
Villareal,Real Sociedad,2,1,0.656521739,0.120869565,0.346956522
Villareal,Espanyol,2,0,0.586956522,0.120521739,0.353913043
Eibar,Villareal,2,1,0.62173913,0.11773913,0.336521739
Real Sociedad,Villareal,0,1,0.482608696,0.117043478,0.343478261
Espanyol,Villareal,0,0,0.656521739,0.120173913,0.336521739
Eibar,Real Sociedad,2,0,0.413043478,0.11773913,0.343478261
Eibar,Espanyol,1,1,0.447826087,0.11773913,0.34
Espanyol,Eibar,3,3,0.62173913,0.117043478,0.336521739
Real Sociedad,Eibar,2,2,0.447826087,0.116347826,0.336521739
Real Sociedad,Espanyol,1,1,0.482608696,0.11773913,0.336521739
Espanyol,Real Sociedad,1,2,0.586956522,0.117043478,0.34
Real Madrid,Ath.Bilbao,4,2,0.517391304,0.120173913,0.385217391
Real Madrid,Barcelona,0,4,0.343478261,0.117043478,0.333043478
Real Madrid,Ath.Madrid,0,1,0.413043478,0.11773913,0.364347826
Real Madrid,Valencia,3,2,0.37826087,0.119130435,0.360869565
Real Madrid,Sevilla,4,0,0.482608696,0.120173913,0.374782609
Real Madrid,Espanyol,6,0,0.726086957,0.120869565,0.367826087
Real Madrid,Real Sociedad,3,1,0.482608696,0.119826087,0.399130435
Real Madrid,Villareal,3,0,0.482608696,0.120869565,0.385217391
Real Madrid,Eibar,4,0,0.62173913,0.122956522,0.395652174
Ath.Bilbao,Real Madrid,1,2,0.482608696,0.120869565,0.374782609
Barcelona,Real Madrid,1,2,0.37826087,0.116347826,0.360869565
Ath.Madrid,Real Madrid,1,1,0.273913043,0.11773913,0.353913043
Valencia,Real Madrid,2,2,0.413043478,0.117043478,0.333043478
Sevilla,Real Madrid,3,2,0.343478261,0.11773913,0.374782609
Espanyol,Real Madrid,0,6,0.62173913,0.119130435,0.416521739
Real Sociedad,Real Madrid,3,1,0.517391304,0.116347826,0.353913043
Villareal,Real Madrid,1,0,0.273913043,0.11773913,0.326086957
Eibar,Real Madrid,0,2,0.37826087,0.119826087,0.364347826
Barcelona,Ath.Bilbao,6,0,0.552173913,0.120869565,0.388695652
Barcelona,Ath.Madrid,2,1,0.447826087,0.120521739,0.374782609
Barcelona,Valencia,1,2,0.413043478,0.120521739,0.350434783
Barcelona,Sevilla,2,1,0.37826087,0.119826087,0.367826087
Barcelona,Espanyol,5,0,0.517391304,0.121217391,0.413043478
Barcelona,Real Sociedad,4,0,0.482608696,0.120521739,0.371304348
Barcelona,Villareal,3,0,0.447826087,0.121565217,0.395652174
Barcelona,Eibar,3,1,0.586956522,0.120869565,0.409565217
Ath.Bilbao,Barcelona,0,1,0.413043478,0.118782609,0.350434783
Ath.Madrid,Barcelona,1,2,0.447826087,0.120173913,0.371304348
Valencia,Barcelona,1,1,0.37826087,0.120521739,0.34
Sevilla,Barcelona,2,1,0.447826087,0.119130435,0.34
Espanyol,Barcelona,0,0,0.482608696,0.120173913,0.350434783
Real Sociedad,Barcelona,1,0,0.482608696,0.120521739,0.346956522
Villareal,Barcelona,2,2,0.37826087,0.11773913,0.371304348
Eibar,Barcelona,0,4,0.586956522,0.121217391,0.395652174
Ath.Madrid,Eibar,3,1,0.552173913,0.120521739,0.357391304
Ath.Madrid,Villareal,0,0,0.37826087,0.119130435,0.336521739
Ath.Madrid,Real Sociedad,3,0,0.586956522,0.119826087,0.374782609
Ath.Madrid,Espanyol,1,0,0.343478261,0.120173913,0.360869565
Ath.Madrid,Sevilla,0,0,0.413043478,0.118782609,0.333043478
Ath.Madrid,Valencia,2,1,0.482608696,0.119826087,0.364347826
Ath.Madrid,Ath.Bilbao,2,1,0.447826087,0.118086957,0.353913043
Eibar,Ath.Madrid,0,2,0.482608696,0.118086957,0.333043478
Villareal,Ath.Madrid,1,0,0.308695652,0.116695652,0.34
Real Sociedad,Ath.Madrid,0,2,0.413043478,0.119130435,0.357391304
Espanyol,Ath.Madrid,1,3,0.447826087,0.117043478,0.333043478
Sevilla,Ath.Madrid,0,3,0.517391304,0.115304348,0.371304348
Valencia,Ath.Madrid,1,3,0.517391304,0.116695652,0.371304348
Ath.Bilbao,Ath.Madrid,0,1,0.413043478,0.119130435,0.336521739
Ath.Bilbao,Valencia,3,1,0.586956522,0.120521739,0.346956522
Ath.Bilbao,Sevilla,3,1,0.517391304,0.119130435,0.333043478
Ath.Bilbao,Espanyol,2,1,0.447826087,0.118434783,0.34
Ath.Bilbao,Real Sociedad,0,1,0.37826087,0.11773913,0.312173913
Ath.Bilbao,Villareal,0,0,0.482608696,0.118434783,0.308695652
Ath.Bilbao,Eibar,5,2,0.552173913,0.11773913,0.336521739
Valencia,Ath.Bilbao,0,3,0.482608696,0.11773913,0.34
Sevilla,Ath.Bilbao,2,0,0.343478261,0.11426087,0.308695652
Espanyol,Ath.Bilbao,2,1,0.37826087,0.11773913,0.326086957
Real Sociedad,Ath.Bilbao,0,0,0.447826087,0.118086957,0.322608696
Villareal,Ath.Bilbao,3,1,0.343478261,0.116347826,0.305217391
Eibar,Ath.Bilbao,2,0,0.273913043,0.117043478,0.291304348
Valencia,Villareal,0,2,0.343478261,0.11773913,0.29826087
Valencia,Eibar,4,0,0.517391304,0.119826087,0.350434783
Valencia,Real Sociedad,0,1,0.37826087,0.11773913,0.34
Valencia,Espanyol,2,1,0.447826087,0.116695652,0.336521739
Valencia,Sevilla,2,1,0.413043478,0.11773913,0.34
